idA,idP,first_author
a36503632200,p163,False
a16481299700,p163,False
a56331558100,p163,False
a47962305800,p163,False
a7101640734,p163,False
a55916448500,p163,False
a57200363612,p164,True
a57212151348,p164,False
a57212147414,p164,False
a57212136375,p164,False
a7403218372,p164,False
a57200529047,p165,True
a56112492400,p165,False
a57215653879,p165,False
a7003772744,p165,False
a18937960700,p165,False
a57216187696,p165,False
a57202818911,p166,True
a7102523474,p166,False
a25627506700,p166,False
a57210477807,p166,False
a7005345401,p166,False
a7005976828,p166,False
a57202910818,p167,True
a55213245300,p167,False
a57192067288,p167,False
a57208225620,p167,False
a57196372172,p167,False
a57211642778,p167,False
a57202855772,p167,False
a57209824884,p167,False
a57202910818,p168,True
a55213245300,p168,False
a57208225620,p168,False
a57196372172,p168,False
a57211642778,p168,False
a57209824884,p168,False
a57193749678,p169,True
a55457444300,p169,False
a6701863708,p169,False
a35729129900,p170,True
a7406665619,p170,False
a57212089454,p171,True
a57202116348,p171,False
a56709476900,p171,False
a7102975249,p171,False
a16422844400,p171,False
a56709476900,p172,True
a57205025235,p172,False
a57202256915,p172,False
a57193755486,p172,False
a7005408810,p172,False
a7006111578,p172,False
a57002749600,p172,False
a7102975249,p172,False
a16422844400,p172,False
a56709287700,p173,True
a57202735625,p173,False
a56387524600,p173,False
a16422844400,p173,False
a7102975249,p173,False
a57208584595,p174,True
a7005513246,p174,False
a35546747200,p174,False
a57003496300,p175,True
a57212110613,p175,False
a57212107391,p175,False
a57200117690,p175,False
a7004688501,p175,False
a57216244800,p175,False
a7409253428,p175,False
a35209941000,p175,False
a6508306234,p176,True
a9277159100,p176,False
a57003496300,p177,True
a57212110613,p177,False
a57212107391,p177,False
a57200117690,p177,False
a7004688501,p177,False
a7404504014,p177,False
a7409253428,p177,False
a35209941000,p177,False
a57144864700,p178,True
a57194205673,p178,False
a35078644900,p178,False
a7406665619,p178,False
a57204475222,p178,False
a8208317300,p178,False
a35729129900,p179,True
a55797091700,p179,False
a57210585829,p179,False
a57204783601,p179,False
a57192945685,p180,True
a56939117000,p180,False
a56585491000,p180,False
a16308483700,p180,False
a57200214703,p180,False
a35311157900,p180,False
a55972769000,p180,False
a36483856300,p180,False
a57194027885,p181,True
a55345299700,p181,False
a56110251000,p181,False
a7003545107,p181,False
a57191873151,p182,True
a7003772744,p182,False
a57208682307,p183,True
a14033673100,p183,False
a14059209700,p184,True
a57201589125,p184,False
a7406665619,p184,False
a57210419894,p184,False
a7201793184,p184,False
a16481299700,p185,True
a55315026400,p185,False
a7101640734,p185,False
a35147940600,p186,True
a24779209500,p186,False
a17434035200,p186,False
a24726409500,p186,False
a56012631600,p187,True
a56487893500,p187,False
a7402648240,p187,False
a18535712500,p187,False
a57200884469,p187,False
a57203221999,p187,False
a57191155872,p188,True
a6603570606,p188,False
a57203028829,p188,False
a7402786794,p188,False
a35088650000,p188,False
a7402258065,p189,True
a56824897200,p190,True
a35562442700,p190,False
a57210916608,p191,True
a7006542177,p191,False
a57210911049,p192,True
a57207008616,p192,False
a56248593800,p192,False
a35562442700,p192,False
a56315330500,p193,True
a16178649400,p193,False
a55858031100,p194,True
a7004300863,p194,False
a57189235340,p195,True
a7003292762,p195,False
a57211493546,p196,True
a7003292762,p196,False
a57205881788,p197,True
a57214032187,p197,False
a57208524360,p198,True
a26634229600,p198,False
a7005934389,p199,True
a57208823236,p199,False
a57190605478,p199,False
a12142543700,p199,False
a35508257500,p200,True
a8321530600,p200,False
a7005709969,p200,False
a57208255032,p201,True
a56677251600,p201,False
a15848771600,p201,False
a7006533953,p201,False
a57211516485,p201,False
a57199980412,p202,True
a6701863708,p202,False
a55457444300,p202,False
a55475654800,p202,False
a43961414900,p203,True
a57209474608,p204,True
a35867849600,p204,False
a12445208100,p204,False
a35868117400,p204,False
a9041055700,p204,False
a57191156976,p205,True
a57209978209,p205,False
a8929123100,p205,False
a57118455800,p206,True
a7401431037,p206,False
a24401574900,p206,False
a57201432287,p207,True
a7003498548,p207,False
a57207334294,p208,True
a12142543700,p208,False
a7006583274,p208,False
a8705255200,p208,False
a26641352100,p209,True
a23569552400,p209,False
