idA,name
a51461952600,Powell K 
a57216491948,Hershman R 
a57191587072,Chelladurai I 
a24295291100,Miles M P 
a23052031200,Niezgoda S 
a7004495126,Beyerlein I J 
a12778890800,Knezevic M 
a57194703295,Asimaki D 
a57144565100,Tepalcapa S 
a57189458176,Roman-de la Sancha A 
a24080990600,Montalva G 
a56323465700,Rojas-Nastrucci E A 
a57209274795,Griffin D 
a7102483892,Weller T M 
a57200208018,May D 
a36701008900,Aktas A 
a7201687754,Advani S G 
a7202401225,Berg D C 
a12805837100,Endruweit A 
a56257805000,Fauster E 
a7005067917,Lomov S V 
a7202417224,Long A 
a55927295500,Mitschang P 
a6508257901,Abaimov S 
a55931847400,Abliz D 
a7004092560,Akhatov I 
a56955794500,Ali M A 
a55778257800,Allen T D 
a6701664914,Bickerton S 
a24504209800,Bodaghi M 
a55247112800,Caglar B 
a57207841000,Caglar H 
a12780700500,Chiminelli A 
a7006236094,Correia N 
a16303239800,Cosson B 
a55315191100,Danzi M 
a57194063754,Dittmann J 
a6701501207,Ermanni P 
a24072733200,Francucci G 
a57192140261,Grishaev V 
a57207843958,Hancioglu M 
a57207841443,Kabachi M A 
a57207846799,Kind K 
a56473665600,Deléglise-Lagardère M 
a23977815400,Laspalas M 
a56308354900,Lebedev O V 
a36859700200,Lizaranzu M 
a26221155700,Liotier P -J 
a24385613600,Middendorf P 
a15081415200,Morán J 
a7408416878,Park C -H 
a11042527300,Pipes R B 
a56185388600,Pucci M F 
a57207844500,Raynal J 
a57189577432,Rodriguez E S 
a6602943081,Schledjewski R 
a57207842677,Schubnel R 
a39062078800,Sharp N 
a7101608513,Sims G 
a6602499334,Sozer E M 
a57202152216,Sousa P 
a57213372150,Thomas J 
a8555191500,Umer R 
a57195579636,Wijaya W 
a57207842193,Willenbacher B 
a57203836326,Yong A 
a55639502500,Zaremba S 
a6602168494,Ziegmann G 
a57209284973,Saleh A M 
a56221901100,Wilding K M 
a6507753128,Calve S 
a6504734319,Kinzer-Ursem T L 
a24759275600,McDonald J K 
a57207312334,Michela E 
a56709364700,Stott M A 
a57192981384,Davis H C 
a57190258899,Luc-Harkey B A 
a24333330300,Seeley M K 
a57189382200,Troy Blackburn J 
a57203250533,Pietrosimone B 
a57203957449,Teng J 
a55247719300,Jain A 
a56871132500,Stambaugh A 
a7402407628,Patterson J L 
a57210286057,Dryer Z 
a57210287346,Nickerl A 
a57210288854,Carreira M 
a57214559823,Monteiro T 
a6602749964,Gibby W 
a57205512220,Parish W 
a7102985794,Merrill R M 
a9739395200,Fernandez D 
a57202736299,Anderson C R 
a57205515588,Merchel E 
a57205514839,Parr R 
a57194392244,Hicks D 
a7006214218,Mehl M J 
a57194503011,Gossett E 
a9845705900,Toher C 
a7004929818,Levy O 
a57194379165,Hanson R M 
a6603325558,Curtarolo S 
a57191586637,Chatterjee S 
a57208184650,Chapman S C 
a57189294915,Major G H 
a6701755273,Lunt B M 
a55200909800,Harrison C R 
a7004234161,Linford M R 
a56330970800,Defigueiredo B P 
a57190247942,Tolman K A 
a57197791798,Crampton E 
a57191995887,Andersen J 
a57203240784,Dickinson L 
a57193574682,Heidbrink S 
a57208784903,Monson T 
a56417117600,O'Neill M 
a57203245208,Reese K 
a57208771517,Spendlove B 
a35621274900,Vaziripour E 
a55681652500,Wu J 
a7003445799,Zappala D 
a55855376400,Nysetvold T B 
a57126390100,Gagakuma E 
a57214523209,Thomas M 
a57205509268,Fronk Z 
a57208845618,Gross A 
a57205502574,Willmore D 
a57205849200,Arango A 
a57205504743,Higham C 
a57207222602,Nguyen V 
a57205501457,Lim H 
a57205504946,Kale V 
a57205502490,McMillan G 
a7004339080,Seegmiller R E 
a57200375892,Pierce J 
a57193720916,Gunter C 
a6701421652,Fourment L 
a57205270902,Mathis T 
a57209887692,Pinto T 
a57205763350,Forsgren B 
a7004435321,Fonseca F S 
a56781290700,Fortes E S 
a36055605700,Parsekian G A 
a16041305200,Camacho J S 
a57215322624,Stanley Fujimoto M 
a57204552603,Barton T J 
a57204551844,Linn J 
a57204547933,Jenkins D 
a57195217444,Smith R 
a57200690449,Arnold B T 
a57208717150,Lee A 
a57204091960,Allen Q S 
a56353116200,Allen J D 
a6603717022,Hatch N W 
a57210923446,Chen J 
a55652695700,Oh S K 
a57205329719,Nabulsi N 
a57199801999,Johnson H 
a57193242858,Wang W 
a7005512824,Ryou J -H 
a57205263313,Hogg S M 
a36953700600,Le Bas P -Y 
a23970286000,Bathe M 
a57194276793,Chrisey L A 
a57208827685,Herr D J C 
a7401703652,Lin Q 
a57202228997,Rasic D 
a54415129200,Zadegan R M 
a7005373645,Zhirnov V V 
a57202047395,Noronha D H 
a57193927413,Zhao R 
a26029526200,Luk W 
a7006799143,Wilton S J E 
a57203922639,Stubbs C J 
a57196487336,Sun W 
a16199522200,Cook D D 
a56985459400,Kraus D 
a57195343816,Sherrod V 
a57201722090,Day N 
a56237421600,Cowley A 
a55912340300,Vosughi A 
a57201864184,Johnson C 
a34874297000,Xue M 
a10639679200,Roy S 
a56854811600,Rich P J 
a55141781300,Hu H H 
a57190384916,Maestre J 
a7005253700,Pallares J 
a7004060735,Cuesta I 
a55413434100,Collins D H 
a57197733358,Janke D 
a57200390842,Monk A 
a8392459500,Hunter A 
a57200730892,Moore B A 
a53984647600,Mudunuru M 
a56806547100,Chau V 
a57201199846,Tchoua R 
a57201509548,Karra S 
a7006051256,O'Malley D 
a6505878659,Rougier E 
a8298784700,Viswanathan H 
a35747244700,Srinivasan G 
a57193565771,Leung H 
a16177635300,Dankers A 
a57207108623,Brodie M 
a57200290256,Tensmeyer C 
a57207112163,Ackerman W 
a7102270639,Martinez T 
a57205388766,Pettingill D 
a57205393448,Kurtz D 
a16313800700,Smalley D 
a55638504300,Youn C C 
a56798055200,Gates N S 
a57192697616,Moore K R 
a8621794000,Ning A 
a57215306633,Newcomb J E 
a57201367093,Unrau M A 
a57189445479,Sanchez D 
a55812232700,Munro T 
a57192955909,La A 
a55161739600,Howell B 
a57211281996,Siebert J 
a57211282830,Hill M 
a57204903122,Hazen G 
a57187178400,Morgan D 
a57211282935,Hamilton M 
a57216747100,Korimi M 
a57216739000,Adams M R 
a57212553003,Pham H 
a57200205435,Schroedter T L 
a57203241931,Smith T 
a57212168814,Armknecht J 
a57212172095,Cameron J 
a57205292526,Rogers W 
a57195066838,Neupane A 
a57212106357,Clinton R 
a57212103171,Whitehead J 
a57211214561,Seat M L 
a57211216470,Wyatt Clegg B 
a57212107036,Metro D 
a57212104751,Cockrell J 
a57212106857,Moffett T 
a57212104028,Bonner N 
a57204799155,Kincaid C J 
a57204803477,Vaterlaus A C 
a57204802622,Stanford N R 
a57219001134,Redd B 
a57218994430,Ebert J 
a57218994299,Twitchell A 
a57218995344,Long D G 
a36677010800,Briceño X 
a57204692730,Arabian F 
a56747516900,Warner W Y 
a56071519600,Wilson M E 
a57212342916,Ynchausti C 
a57212351695,Seymour K 
a57212342217,Sheffield J 
a57212343330,Armstrong A G 
a57212351059,Hunter J G 
a57212341630,Andrews D W 
a57212277900,Brown T 
a57188667076,Hope S 
a57200534297,Stringham B J 
a57214773567,Smith D O 
a57212271263,Naylor T A 
a57111140800,Martin R A 
a57197737083,Sadler J E 
a57205761514,Day R D 
a57205766759,Bronson P G 
a57205762398,Tovar J L 
a7004511126,Tree D R 
a57200687939,Tobiasson J R 
a57200688910,Egbert S C 
a57031187500,Gong H 
a57089497400,Johnson B I 
a57209912956,Avval T G 
a57209911428,Hodges G T 
a57211503118,Carver V 
a57211500187,Membreno K 
a7006120837,Allred D D 
a57209530205,Hooper K 
a57215116223,Baker N F 
a57191952713,Stanley A P J 
a57188658434,Thomas J J 
a36682113800,Dykes K 
a56245452300,Annoni J 
a35310092900,Fleming P 
a57214589312,Thorum A 
a57215007775,Page L 
a36126203400,Hua Z 
a7102843798,Hurley D 
a57214451592,Yayoglu Y E 
a6603114735,Gallant N D 
a8641604600,Toomey R 
a23027991800,List M G 
a7103035939,Rossiter J A 
a57212228353,Pope S A 
a7404957607,Jones B L 
a57203578595,Baptista A 
a57203572508,Carneiro A 
a55849943100,Lundgreen R 
a35338971800,Bai H 
a57207260622,Starick T 
a24336460200,Schmidt H 
