idK,idP
k1317,p508
k1318,p508
k1319,p508
k1320,p509
k1321,p509
k1322,p509
k1323,p509
k1324,p509
k1325,p510
k1326,p510
k1327,p510
k1328,p510
k1329,p510
k1330,p511
k1331,p511
k1332,p511
k1333,p512
k1334,p512
k1335,p512
k1336,p512
k1337,p512
k1338,p513
k1339,p513
k1340,p513
k1152,p513
k1341,p514
k1342,p514
k1343,p514
k308,p514
k1344,p514
k1345,p514
k56,p515
k1291,p515
k58,p515
k1346,p515
k1347,p516
k1348,p516
k1349,p516
k1350,p516
k1351,p516
k1352,p517
k1353,p517
k1354,p517
k1355,p517
k1356,p517
k1357,p517
k1358,p519
k1359,p519
k1360,p519
k1361,p520
k1362,p520
k1363,p520
k1364,p520
k1365,p520
k1366,p522
k1367,p522
k1034,p522
k1368,p526
k1369,p526
k1370,p526
k1371,p526
k1372,p526
k1373,p526
k1374,p527
k1375,p527
k1376,p527
k1377,p527
k1378,p527
k1379,p527
k1380,p529
k1381,p529
k1382,p529
k1383,p529
k1384,p532
k1385,p532
k1386,p532
k1387,p532
k1388,p532
k1389,p533
k1390,p533
k1391,p533
k1392,p533
k1393,p534
k1394,p534
k1395,p535
k741,p535
k1396,p535
k1397,p535
k1398,p535
k1399,p535
k1400,p537
k1401,p537
k1402,p537
k1403,p537
k1404,p537
k1405,p537
k1406,p538
k1407,p538
k1408,p538
k1409,p539
k1410,p539
k1411,p539
k1412,p539
k1413,p540
k1414,p540
k1415,p540
k1416,p541
k1417,p541
k1418,p541
k34,p541
k1419,p545
k1420,p545
k1421,p545
k1422,p546
k1423,p546
k1424,p546
k1425,p546
k1426,p546
k1427,p547
k657,p547
k251,p547
k1428,p547
k1299,p547
k1300,p547
k1429,p548
k1430,p548
k1431,p548
k1432,p548
k1433,p556
k1434,p556
k888,p556
k1435,p556
k1436,p559
k1437,p559
k1438,p559
k1439,p559
k1440,p559
k1441,p564
k1442,p564
k1443,p564
k1444,p564
k1445,p564
k1446,p565
k1443,p565
k1447,p565
k1448,p565
k1444,p565
k1449,p565
k1450,p566
k1451,p566
k1452,p566
k1453,p566
k1454,p566
k959,p567
k960,p567
k1455,p568
k1456,p568
k1457,p568
k1458,p568
k1459,p572
k1460,p572
k1461,p572
k1462,p572
k1463,p572
k1464,p572
k1465,p573
k1466,p573
k1467,p573
k821,p573
k1468,p579
k979,p579
k1469,p579
k1470,p579
k1471,p585
k1472,p585
k847,p585
k1473,p585
k1474,p585
k1475,p588
k1476,p588
k1477,p588
k219,p588
k1478,p588
k1479,p590
k1480,p590
k1481,p590
k1482,p590
k1483,p590
k706,p590
k1484,p590
k1485,p590
k1486,p591
k1487,p591
k1488,p591
k1489,p592
k1490,p592
k1491,p592
k1492,p592
k1493,p592
k1494,p592
k1495,p592
k1496,p592
k1497,p592
k1498,p592
k1499,p592
k1500,p592
k1501,p592
k1502,p600
k1503,p600
k1504,p600
k1505,p600
k1506,p600
k1507,p600
k1508,p600
k1509,p601
k1510,p601
k1511,p601
k1070,p601
k1512,p601
k1513,p602
k1514,p602
k1515,p602
k999,p602
k1516,p603
k1517,p603
k1518,p603
k1519,p605
k1520,p605
k1521,p605
k1522,p605
k1523,p617
k1524,p617
k1525,p617
k1522,p617
k1526,p621
k1527,p621
k1528,p621
k1529,p622
k1530,p622
k1531,p622
k1532,p622
k692,p622
k1533,p633
k1534,p633
k1535,p633
k1536,p633
k1537,p636
k1538,p636
k1516,p636
k1539,p636
k1540,p636
k1541,p637
k1542,p637
k657,p637
k1543,p637
k1544,p637
k1545,p637
k1546,p637
k1547,p637
k1548,p639
k1549,p639
k1550,p639
k1551,p641
k1552,p641
k1553,p641
k1554,p642
k1555,p642
k1556,p642
k1557,p642
k1558,p642
k1559,p642
k1560,p643
k1561,p643
k1381,p643
k1562,p643
k1068,p644
k1093,p644
k1094,p644
k1095,p644
k1563,p644
k1564,p645
k1565,p645
k1566,p645
k1567,p646
k1568,p646
k1569,p646
k1570,p646
k1571,p646
k1572,p649
k1573,p649
k1574,p649
k1575,p649
k1576,p649
k1577,p656
k1578,p656
k1579,p656
k1580,p656
k1581,p656
k1582,p656
k1583,p656
k1584,p656
k1585,p656
k1586,p660
k1587,p660
k1321,p660
k1588,p660
k1589,p660
k1590,p661
k1591,p661
k1592,p665
k1593,p665
k1594,p665
k1595,p665
k1596,p666
k1425,p666
k1597,p666
k1598,p666
